sessionId,sessionStartLocal,sessionStartUnixMs,eventLocal,eventUnixMs,elapsedMs,frame,eventType,inputSource,paintingRunIndex,paintingIndex,paintingId,paintingName,stageIndex,stagePresetIndex,stageCount,stageValueIndex,stageValueCount,stageElapsedMs,promptElapsedMs,selectionTriggeredLocal,selectionTriggeredUnixMs,selectionTriggeredElapsedMs,promptToSelectionMs,selectionTriggeredFrame,stageRangeMinimum,stageRangeMaximum,particleIntensity,particleFrequency,orbIndex,orbLabel,orbColorIntensity,selectionDwellMs,selectionEffectMs,choiceWaitMs,notes
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:29:46.263 +02:00",1778884186263,0,211,"session_started","OVRInput Button.One/RawButton.A buttonOne=True rawA(RTouch)=True rawA(Active)=True active=RTouch connected=RTouch controller=water lilies (1)#72378",,,,,,,,,,,,,,,,,,,,,,,,,,,"CSV session created"
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:29:46.275 +02:00",1778884186275,12,211,"painting_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",,,,,,,,,,,,,,,,,,,,,,,"Painting run started."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:29:49.273 +02:00",1778884189273,3010,382,"stage_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,,2,0,,,,,,,0.41,0.61,0.01,0,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:29:49.274 +02:00",1778884189274,3011,382,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,1,2,1,,,,,,,0.41,0.61,0.595261,0.597982,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:04.285 +02:00",1778884204285,18022,921,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,2,2,15011,,,,,,,0.41,0.61,0.521182,0.503236,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:19.320 +02:00",1778884219320,33057,1461,"stage_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,,2,30047,,,,,,,0.41,0.61,0.521182,0.503236,,,,,,,"Painting holds this stage's final intensity/frequency while waiting for choice."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:19.320 +02:00",1778884219320,33057,1461,"choice_prompt_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,,2,30047,,,,,,,0.41,0.61,0.521182,0.503236,,,3.5,,,,"Orb prompt breathing light starts; choices remain enabled during the breathing cue."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:29.957 +02:00",1778884229957,43694,1844,"choice_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",1,3,5,,2,40684,10636,"2026-05-16 00:30:29.149 +02:00",1778884229149,42886,9828,1814,0.41,0.61,0.521182,0.503236,3,"MgicOrb_lit_green",0,2005,808,9828,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:29.986 +02:00",1778884229986,43723,1844,"stage_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,,2,0,,,,,,,0.21,0.41,0.521182,0.503236,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:29.986 +02:00",1778884229986,43723,1844,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,1,2,0,,,,,,,0.21,0.41,0.358458,0.216941,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:30:44.993 +02:00",1778884244993,58730,2487,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,2,2,15007,,,,,,,0.21,0.41,0.26391,0.27419,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:00.029 +02:00",1778884260029,73766,3027,"stage_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,,2,30043,,,,,,,0.21,0.41,0.26391,0.27419,,,,,,,"Painting holds this stage's final intensity/frequency while waiting for choice."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:00.029 +02:00",1778884260029,73766,3027,"choice_prompt_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,,2,30043,,,,,,,0.21,0.41,0.26391,0.27419,,,3.5,,,,"Orb prompt breathing light starts; choices remain enabled during the breathing cue."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:32.105 +02:00",1778884292105,105842,4181,"choice_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",2,2,5,,2,62119,32076,"2026-05-16 00:31:31.297 +02:00",1778884291297,105034,31269,4151,0.21,0.41,0.26391,0.27419,2,"MgicOrb_blue",0,2005,807,31269,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:32.133 +02:00",1778884292133,105870,4181,"stage_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,,2,0,,,,,,,0.61,0.81,0.26391,0.27419,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:32.133 +02:00",1778884292133,105870,4181,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,1,2,0,,,,,,,0.61,0.81,0.703786,0.762419,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:31:47.142 +02:00",1778884307142,120879,4720,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,2,2,15009,,,,,,,0.61,0.81,0.611006,0.802875,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:02.177 +02:00",1778884322177,135914,5260,"stage_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,,2,30045,,,,,,,0.61,0.81,0.611006,0.802875,,,,,,,"Painting holds this stage's final intensity/frequency while waiting for choice."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:02.177 +02:00",1778884322177,135914,5260,"choice_prompt_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,,2,30045,,,,,,,0.61,0.81,0.611006,0.802875,,,3.5,,,,"Orb prompt breathing light starts; choices remain enabled during the breathing cue."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:12.286 +02:00",1778884332286,146023,5623,"choice_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",3,4,5,,2,40153,10108,"2026-05-16 00:32:11.477 +02:00",1778884331477,145214,9299,5593,0.61,0.81,0.611006,0.802875,3,"MgicOrb_lit_green",0,2003,809,9299,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:12.313 +02:00",1778884332313,146050,5623,"stage_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,,2,0,,,,,,,0.01,0.21,0.611006,0.802875,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:12.314 +02:00",1778884332314,146051,5623,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,1,2,0,,,,,,,0.01,0.21,0.168046,0.14604,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:27.323 +02:00",1778884347323,161060,6162,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,2,2,15009,,,,,,,0.01,0.21,0.03327,0.067142,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:42.358 +02:00",1778884362358,176095,6702,"stage_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,,2,30044,,,,,,,0.01,0.21,0.03327,0.067142,,,,,,,"Painting holds this stage's final intensity/frequency while waiting for choice."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:42.358 +02:00",1778884362358,176095,6702,"choice_prompt_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,,2,30044,,,,,,,0.01,0.21,0.03327,0.067142,,,3.5,,,,"Orb prompt breathing light starts; choices remain enabled during the breathing cue."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:53.330 +02:00",1778884373330,187067,7097,"choice_completed",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",4,1,5,,2,41016,10972,"2026-05-16 00:32:52.521 +02:00",1778884372521,186258,10164,7067,0.01,0.21,0.03327,0.067142,3,"MgicOrb_lit_green",0,2004,808,10164,"Selection logged after orb burst completed."
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:53.357 +02:00",1778884373357,187094,7097,"stage_started",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",5,5,5,,2,0,,,,,,,0.81,1,0.03327,0.067142,,,,,,,
"meditation_experiment_20260516_002946_263","2026-05-16 00:29:46.263 +02:00",1778884186263,"2026-05-16 00:32:53.357 +02:00",1778884373357,187094,7097,"stage_value_applied",,1,1,"01_bright_to_dark_claude_monet_044","01_bright_to_dark_Claude_Monet_044",5,5,5,1,2,0,,,,,,,0.81,1,0.942021,0.814821,,,,,,,
