sessionId,sampleUnixMs,elapsedMs,frame,leftValid,leftConfidence,leftOriginX,leftOriginY,leftOriginZ,leftForwardX,leftForwardY,leftForwardZ,rightValid,rightConfidence,rightOriginX,rightOriginY,rightOriginZ,rightForwardX,rightForwardY,rightForwardZ,centerEyeX,centerEyeY,centerEyeZ,centerForwardX,centerForwardY,centerForwardZ
"meditation_experiment_20260516_002946_263",1778884186276,13,211,1,0.996094,41.21695,20.83854,39.70156,0.993944,0.087297,0.066737,1,0.996094,41.21549,20.83325,39.63447,0.988587,0.090963,0.120088,41.21622,20.83589,39.66801,0.995255,0.092885,-0.028973
"meditation_experiment_20260516_002946_263",1778884186371,108,218,1,0.996094,41.20916,20.84043,39.7041,0.992584,0.071346,0.098421,1,0.996094,41.20841,20.83555,39.63697,0.985634,0.074717,0.151468,41.20878,20.83799,39.67053,0.994684,0.101306,-0.018455
"meditation_experiment_20260516_002946_263",1778884186481,218,226,1,0.996094,41.20317,20.84362,39.70826,0.977624,0.106512,0.181402,1,0.996094,41.20355,20.8385,39.64114,0.966294,0.1094,0.233042,41.20337,20.84106,39.6747,0.991799,0.12774,-0.004136
"meditation_experiment_20260516_002946_263",1778884186593,330,234,1,0.996094,41.19921,20.84497,39.71206,0.978994,0.097628,0.178997,1,0.996094,41.20055,20.84096,39.64487,0.967839,0.099832,0.230916,41.19988,20.84297,39.67847,0.989139,0.146566,0.011037
"meditation_experiment_20260516_002946_263",1778884186704,441,242,1,0.996094,41.19711,20.84559,39.71577,0.978912,0.100316,0.177956,1,0.996094,41.19947,20.84216,39.64858,0.967802,0.102112,0.23007,41.19829,20.84387,39.68217,0.986852,0.159447,0.026442
"meditation_experiment_20260516_002946_263",1778884186815,552,250,1,0.996094,41.19694,20.84583,39.71807,0.976875,0.101375,0.188253,1,0.996094,41.20032,20.84308,39.65089,0.965251,0.102651,0.240321,41.19863,20.84446,39.68448,0.98322,0.177486,0.042153
"meditation_experiment_20260516_002946_263",1778884186927,664,258,1,0.996094,41.20008,20.84506,39.71629,0.979001,0.106783,0.173651,1,0.996094,41.20414,20.84236,39.64915,0.968089,0.108118,0.226085,41.20211,20.84371,39.68272,0.979305,0.195794,0.05125
"meditation_experiment_20260516_002946_263",1778884187039,776,266,1,0.996094,41.20529,20.84407,39.71173,0.979889,0.109633,0.166729,1,0.996094,41.20974,20.84094,39.64463,0.969281,0.11135,0.219307,41.20751,20.84251,39.67818,0.974479,0.21776,0.054507
"meditation_experiment_20260516_002946_263",1778884187149,886,274,1,0.996094,41.2096,20.84274,39.7065,0.981436,0.100534,0.16333,1,0.996094,41.21412,20.83872,39.63945,0.970956,0.103058,0.215928,41.21186,20.84073,39.67297,0.96997,0.237802,0.05107
"meditation_experiment_20260516_002946_263",1778884187261,998,282,1,0.996094,41.21122,20.84201,39.70342,0.984779,0.06826,0.159852,1,0.996094,41.21545,20.83703,39.63643,0.974534,0.071776,0.212444,41.21333,20.83952,39.66993,0.972755,0.227523,0.044517
